nome_coluna,descricao_oficial,tipo_semantico,uso_potencial_no_dashboard,observacoes,rotulo_fonte_oficial,fonte_oficial,referencia,status_mapeamento,data_consulta,natureza_descricao
unidade_fornecimento,Apresentação comercial usada na precificação.,Categórico: apresentação,Comparações de preços por apresentação.,O documento dos CSVs repete esse rótulo na p. 2 para uma descrição de unidade da capacidade; não fundir os conceitos.,Unidade de Fornecimento,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf | https://www.gov.br/saude/pt-br/acesso-a-informacao/banco-de-precos/publicacoes/dicionario-de-dados-painel-de-precos/@@download/file,"p. 1; Painel, p. 4",Correspondência direta à primeira ocorrência do rótulo,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
generico,Indicador de medicamento genérico.,Categórico: indicador,Segmentação por condição de genérico.,Não interpretar campos vazios como resposta negativa sem regra documentada.,Genérico,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 1,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
anvisa,"Registro sanitário, denominado código CMED no documento.",Identificador textual: registro sanitário,Filtro de registro e futura ligação a referência regulatória.,Não é preço CMED. Confirmar formato e granularidade antes de relacionar fontes; não converter em medida numérica.,Anvisa,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 2,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
modalidade_compra,Procedimento de aquisição.,Categórico nominal,Comparação por modalidade.,Não confundir modalidade com natureza administrativa/judicial.,Modalidade da Compra,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf | https://www.gov.br/saude/pt-br/acesso-a-informacao/banco-de-precos/publicacoes/dicionario-de-dados-painel-de-precos/@@download/file,"p. 2; Painel, p. 8",Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
tipo_compra,Natureza da aquisição; administrativa ou judicial na documentação complementar.,Categórico nominal,Segmentação de compras administrativas e judiciais.,"Os exemplos emergencial/regular dos metadados divergem dos valores observados ADMINISTRATIVA/JUDICIAL. Painel e Boletim sustentam a interpretação administrativa/judicial. Contagens observadas: {""2020"":{""ADMINISTRATIVA"":84819},""2021"":{""ADMINISTRATIVA"":83618,""JUDICIAL"":4},""2022"":{""ADMINISTRATIVA"":88979,""JUDICIAL"":12},""2023"":{""ADMINISTRATIVA"":31466,""JUDICIAL"":526},""2024"":{""ADMINISTRATIVA"":23997,""JUDICIAL"":2261},""2025"":{""ADMINISTRATIVA"":23923,""JUDICIAL"":2292},""2026"":{""ADMINISTRATIVA"":696,""JUDICIAL"":123}}. A divergência documental deve ser confirmada na Sprint 2.",Tipo de Compra; Forma da compra,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf | https://www.gov.br/saude/pt-br/acesso-a-informacao/banco-de-precos/publicacoes/dicionario-de-dados-painel-de-precos/@@download/file | https://bvsms.saude.gov.br/bvs/publicacoes/boletim_economia_saude_dez2021.pdf,"Metadados, p. 2; Painel, p. 9; Boletim, p. 4",Descrição complementada; divergência de exemplos documentais,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
capacidade,Medida numérica da capacidade da apresentação.,Quantitativo: capacidade,Comparabilidade da apresentação adquirida.,Interpretar junto de unidade_medida; ausência não implica capacidade zero.,Capacidade,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 2,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
unidade_medida,Unidade que expressa a capacidade.,Categórico: unidade de medida,Distinguir capacidades em unidades diferentes.,"O rótulo literal unidade_medida não aparece no PDF. Associação semântica provável à segunda ocorrência do rótulo, cuja descrição traz ML, Doses, G, UN. Requer confirmação oficial; não renomear.",Unidade de Fornecimento (segunda ocorrência),https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 2,Correspondência semântica provável; rótulo oficial repetido,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
unidade_fornecimento_capacidade,Sem definição explícita localizada nas fontes consultadas.,Texto: apresentação composta (inferido),"Rótulo detalhado para comparar apresentações, após confirmação.","Inferência a partir do CSV: combina apresentação, capacidade e unidade quando disponíveis. Exemplo observado: FRASCO; 5.0; ML -> FRASCO 5.00 ML. Sem capacidade, pode repetir a apresentação. Não é definição oficial nem regra de construção validada para todos os registros.",Não localizado,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf | https://www.gov.br/saude/pt-br/acesso-a-informacao/banco-de-precos/publicacoes/dicionario-de-dados-painel-de-precos/@@download/file,"Metadados, pp. 1–2; painel consultado",Lacuna documental; interpretação observacional,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
cnpj_fornecedor,Identificação fiscal do vendedor.,Identificador textual: CNPJ,Identificação e concentração de fornecedores.,Preservar o valor textual; não confundir fornecedor com fabricante.,CNPJ Fornecedor,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 2,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
fornecedor,Empresa fornecedora.,Categórico: nome empresarial,Rótulos e filtros de fornecedores.,Analisar junto do CNPJ; nomes não são necessariamente chaves únicas.,Fornecedor,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf | https://www.gov.br/saude/pt-br/acesso-a-informacao/banco-de-precos/publicacoes/dicionario-de-dados-painel-de-precos/@@download/file,"p. 2; Painel, p. 8",Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
cnpj_fabricante,Identificação fiscal do produtor.,Identificador textual: CNPJ,Identificação de fabricantes.,"Identificador, não medida somável; preservar pontuação e zeros.",CNPJ Fabricante,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 2,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
fabricante,Empresa produtora.,Categórico: nome empresarial,Segmentação por fabricante.,Fabricante e fornecedor podem ser empresas distintas.,Fabricante,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 2,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
qtd_itens_comprados,Volume adquirido do item.,Quantitativo: quantidade,Volume comprado por material e apresentação.,Evitar somar quantidades de unidades heterogêneas; nenhuma agregação das bases nesta etapa.,Qtd Itens Comprados,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 2,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
preco_unitario,Preço negociado por unidade.,Quantitativo monetário: preço unitário,Comparação de preços de itens equivalentes.,"Comparabilidade depende de material, apresentação e período; não é despesa total.",Preço Unitário,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 2,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
preco_total,Valor do item: quantidade vezes preço unitário.,Quantitativo monetário: valor do item,Valor adquirido por item e dimensões de interesse.,Não presumir total de uma licitação inteira. A fórmula documental não foi recalculada nem corrigida nesta etapa.,Preço Total,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 2,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
